Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GLP1R_3PA_GLP1_1 Spectral Count	GLP1R_3PA_GLP1_2 Spectral Count	GLP1R_3PA_GLP1_3 Spectral Count	GLP1R_3PA_GLP1_4 Spectral Count	GLP1R_3PA_VEH_1 Spectral Count	GLP1R_3PA_VEH_2 Spectral Count	GLP1R_3PA_VEH_3 Spectral Count	GLP1R_3PA_VEH_4 Spectral Count	GLP1R_WT_GLP1_1 Spectral Count	GLP1R_WT_GLP1_2 Spectral Count	GLP1R_WT_GLP1_3 Spectral Count	GLP1R_WT_GLP1_4 Spectral Count	GLP1R_WT_VEH_1 Spectral Count	GLP1R_WT_VEH_2 Spectral Count	GLP1R_WT_VEH_3 Spectral Count	GLP1R_WT_VEH_4 Spectral Count	NEG_1 Spectral Count	GLP1R_3PA_GLP1_1 Unique Spectral Count	GLP1R_3PA_GLP1_2 Unique Spectral Count	GLP1R_3PA_GLP1_3 Unique Spectral Count	GLP1R_3PA_GLP1_4 Unique Spectral Count	GLP1R_3PA_VEH_1 Unique Spectral Count	GLP1R_3PA_VEH_2 Unique Spectral Count	GLP1R_3PA_VEH_3 Unique Spectral Count	GLP1R_3PA_VEH_4 Unique Spectral Count	GLP1R_WT_GLP1_1 Unique Spectral Count	GLP1R_WT_GLP1_2 Unique Spectral Count	GLP1R_WT_GLP1_3 Unique Spectral Count	GLP1R_WT_GLP1_4 Unique Spectral Count	GLP1R_WT_VEH_1 Unique Spectral Count	GLP1R_WT_VEH_2 Unique Spectral Count	GLP1R_WT_VEH_3 Unique Spectral Count	GLP1R_WT_VEH_4 Unique Spectral Count	NEG_1 Unique Spectral Count	GLP1R_3PA_GLP1_1 Total Spectral Count	GLP1R_3PA_GLP1_2 Total Spectral Count	GLP1R_3PA_GLP1_3 Total Spectral Count	GLP1R_3PA_GLP1_4 Total Spectral Count	GLP1R_3PA_VEH_1 Total Spectral Count	GLP1R_3PA_VEH_2 Total Spectral Count	GLP1R_3PA_VEH_3 Total Spectral Count	GLP1R_3PA_VEH_4 Total Spectral Count	GLP1R_WT_GLP1_1 Total Spectral Count	GLP1R_WT_GLP1_2 Total Spectral Count	GLP1R_WT_GLP1_3 Total Spectral Count	GLP1R_WT_GLP1_4 Total Spectral Count	GLP1R_WT_VEH_1 Total Spectral Count	GLP1R_WT_VEH_2 Total Spectral Count	GLP1R_WT_VEH_3 Total Spectral Count	GLP1R_WT_VEH_4 Total Spectral Count	NEG_1 Total Spectral Count	GLP1R_3PA_GLP1_1 Intensity	GLP1R_3PA_GLP1_2 Intensity	GLP1R_3PA_GLP1_3 Intensity	GLP1R_3PA_GLP1_4 Intensity	GLP1R_3PA_VEH_1 Intensity	GLP1R_3PA_VEH_2 Intensity	GLP1R_3PA_VEH_3 Intensity	GLP1R_3PA_VEH_4 Intensity	GLP1R_WT_GLP1_1 Intensity	GLP1R_WT_GLP1_2 Intensity	GLP1R_WT_GLP1_3 Intensity	GLP1R_WT_GLP1_4 Intensity	GLP1R_WT_VEH_1 Intensity	GLP1R_WT_VEH_2 Intensity	GLP1R_WT_VEH_3 Intensity	GLP1R_WT_VEH_4 Intensity	NEG_1 Intensity	GLP1R_3PA_GLP1_1 MaxLFQ Intensity	GLP1R_3PA_GLP1_2 MaxLFQ Intensity	GLP1R_3PA_GLP1_3 MaxLFQ Intensity	GLP1R_3PA_GLP1_4 MaxLFQ Intensity	GLP1R_3PA_VEH_1 MaxLFQ Intensity	GLP1R_3PA_VEH_2 MaxLFQ Intensity	GLP1R_3PA_VEH_3 MaxLFQ Intensity	GLP1R_3PA_VEH_4 MaxLFQ Intensity	GLP1R_WT_GLP1_1 MaxLFQ Intensity	GLP1R_WT_GLP1_2 MaxLFQ Intensity	GLP1R_WT_GLP1_3 MaxLFQ Intensity	GLP1R_WT_GLP1_4 MaxLFQ Intensity	GLP1R_WT_VEH_1 MaxLFQ Intensity	GLP1R_WT_VEH_2 MaxLFQ Intensity	GLP1R_WT_VEH_3 MaxLFQ Intensity	GLP1R_WT_VEH_4 MaxLFQ Intensity	NEG_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|P63331|PP2AA_RAT	P63331	PP2AA_RAT	Ppp2ca	309	Rattus norvegicus	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	1.0	0.999	6	61	0	61	4	5	3	3	2	2	6	4	3	2	5	4	3	2	4	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	3	2	2	6	4	3	2	5	4	3	2	4	7	2	166634.34	188863.33	154154.72	184193.64	132275.0	140984.06	178831.75	173242.7	148889.47	172611.6	193693.58	163843.98	328243.06	110977.84	182732.34	219545.23	115990.81	63172.684	72555.31	71108.31	69799.85	59965.938	63594.234	67116.81	65984.29	66433.98	66305.6	73589.3	62449.668	64102.652	68642.13	69338.16	65208.973	55236.56	tr|A0A0G2JYA4|A0A0G2JYA4_RAT
sp|P67779|PHB1_RAT	P67779	PHB1_RAT	Phb1	272	Rattus norvegicus	1:Experimental evidence at protein level	Prohibitin 1	1.0	0.999	13	290	23	290	20	16	16	15	17	15	18	15	15	16	21	20	20	15	20	16	15	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	2	20	16	16	15	17	15	18	15	15	16	21	20	20	15	20	16	15	625807.3	600706.5	612433.25	668751.7	660575.7	646623.75	619065.7	618930.0	682338.6	756751.5	790673.44	779148.0	731561.0	689986.75	739430.06	674275.2	498686.97	89312.34	91941.195	90046.1	94816.84	90122.78	92794.99	94693.33	90005.18	89472.35	103382.266	99462.086	105824.89	96045.734	98961.55	98844.52	98429.52	77057.6	
sp|P67874|CSK2B_RAT	P67874	CSK2B_RAT	Csnk2b	215	Rattus norvegicus	1:Experimental evidence at protein level	Casein kinase II subunit beta	0.9778	0.999	1	6	0	6	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	23377.348	0.0	9445.98	18483.193	16347.212	0.0	0.0	0.0	12043.932	18142.889	17484.227	16203.294	18516.799	24731.78	22760.395	24442.514	0.0	23377.348	0.0	9445.98	18483.193	16347.212	0.0	0.0	0.0	12043.932	18142.889	17484.227	16203.294	18516.799	24731.78	22760.395	24442.514	0.0	tr|A0A8L2UP98|A0A8L2UP98_RAT, tr|A0ABK0L549|A0ABK0L549_RAT, tr|A0ABK0LAM9|A0ABK0LAM9_RAT
sp|P68035|ACTC_RAT	P68035	ACTC_RAT	Actc1	377	Rattus norvegicus	2:Experimental evidence at transcript level	Actin, alpha cardiac muscle 1	1.0	0.999	9	632	0	639	39	37	30	38	42	40	39	33	33	33	34	37	37	46	43	42	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	37	30	38	42	40	39	33	33	34	35	38	38	47	44	43	29	5300379.5	4147356.0	4143571.5	4218284.0	3964093.2	4138091.5	4308836.0	4213468.0	4058916.5	4001955.2	3972879.5	4214476.5	3961597.0	4231083.5	4958766.5	4463046.5	2524594.5	1274097.1	1062199.5	1066767.5	1159896.5	997607.06	1090896.9	1133596.0	1069380.9	1057973.9	979651.4	1026348.25	1061453.2	1014805.0	1046498.6	1264783.9	1066993.8	797070.5	sp|P68136|ACTS_RAT, tr|A0A8I5ZVP6|A0A8I5ZVP6_RAT
sp|P68101|IF2A_RAT	P68101	IF2A_RAT	Eif2s1	315	Rattus norvegicus	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 1	1.0	0.999	13	159	159	159	12	11	10	11	7	12	7	13	7	7	7	9	9	5	8	9	15	12	11	10	11	7	12	7	13	7	7	7	9	9	5	8	9	15	12	11	10	11	7	12	7	13	7	7	7	9	9	5	8	9	15	481020.28	462467.62	456919.0	507254.62	316641.75	474836.3	290786.78	462863.25	470452.97	471744.8	398077.53	533251.6	453270.9	397007.47	390036.88	379732.9	437761.6	134557.73	136619.9	138969.1	137514.31	137413.62	132362.69	125498.62	126655.41	127957.375	126671.22	111143.7	127049.18	121316.25	120666.02	108956.29	118569.73	147866.55	
sp|P68182|KAPCB_RAT	P68182	KAPCB_RAT	Prkacb	351	Rattus norvegicus	1:Experimental evidence at protein level	cAMP-dependent protein kinase catalytic subunit beta	1.0	0.999	12	174	0	174	8	8	6	10	9	5	11	13	9	8	13	8	12	16	15	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	6	10	9	5	11	13	9	8	13	8	12	16	15	14	9	317946.78	540514.0	516154.4	528787.25	307459.0	321724.0	344662.22	329391.8	349287.66	380586.12	321862.5	357023.56	510991.25	399997.7	422522.0	380573.62	381219.4	64823.633	70850.64	68936.25	69163.26	64745.5	64131.934	68624.29	70529.78	68161.02	73448.2	68635.33	68179.125	72246.54	73422.25	74618.164	72529.39	74534.914	tr|A0A8I6A4F6|A0A8I6A4F6_RAT, tr|A0A8I6AV42|A0A8I6AV42_RAT, tr|A0A8I6GBC1|A0A8I6GBC1_RAT, tr|A0ABK0M2V8|A0ABK0M2V8_RAT
sp|P68255|1433T_RAT	P68255	1433T_RAT	Ywhaq	245	Rattus norvegicus	1:Experimental evidence at protein level	14-3-3 protein theta	1.0	0.999	8	145	26	224	7	6	10	7	8	7	11	10	7	8	12	10	11	6	9	10	6	1	1	4	1	2	1	2	2	1	2	1	2	2	1	1	1	1	13	12	14	11	11	12	15	14	13	13	17	15	16	11	12	16	9	373681.97	376618.88	304802.97	358714.25	314292.88	343179.84	343491.6	329755.72	336530.3	387423.25	339720.38	427407.62	335432.47	429884.9	407471.8	433029.1	190729.27	108124.69	106247.12	98742.27	103683.95	95136.54	96262.62	106833.516	98724.836	109834.5	106419.26	115816.55	113112.35	121178.25	126885.22	122401.42	125774.84	63309.54	
sp|P68370|TBA1A_RAT	P68370	TBA1A_RAT	Tuba1a	451	Rattus norvegicus	1:Experimental evidence at protein level	Tubulin alpha-1A chain	0.9999	0.999	19	1163	0	1312	65	66	61	63	72	67	73	69	72	70	61	70	69	73	74	86	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	75	70	72	80	76	81	78	81	77	71	79	80	81	83	96	60	7596774.0	8179104.5	6959783.0	7374435.0	6949808.0	7122895.5	7665877.0	7398463.5	8263921.5	8318587.0	8456351.0	8785402.0	8535030.0	8541494.0	9088355.0	9838125.0	4495483.5	1363903.2	1482745.0	1349824.2	1367499.5	1280665.8	1298581.6	1360574.8	1328497.6	1515857.8	1519508.6	1484894.5	1563985.9	1482788.1	1495551.1	1580626.1	1736405.8	831926.06	
sp|P68511|1433F_RAT	P68511	1433F_RAT	Ywhah	246	Rattus norvegicus	1:Experimental evidence at protein level	14-3-3 protein eta	1.0	0.999	6	66	0	128	4	4	4	3	4	3	3	4	3	6	3	3	4	5	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	7	6	7	7	6	7	7	11	7	7	8	9	9	8	6	137697.27	108404.67	114345.11	106925.72	103361.875	123628.85	136192.6	111104.91	103750.945	141907.08	132595.36	181082.9	144920.06	100866.03	147924.03	58940.08	130626.25	50710.973	45942.332	48194.484	45353.574	38771.35	45147.46	60028.457	47197.98	43421.227	47524.875	47664.84	59440.91	47981.613	51163.53	47253.344	45172.434	55934.895	tr|A0A8I6AI74|A0A8I6AI74_RAT
sp|P69736|EDF1_RAT	P69736	EDF1_RAT	Edf1	148	Rattus norvegicus	1:Experimental evidence at protein level	Endothelial differentiation-related factor 1	1.0	0.999	4	83	0	83	6	5	5	4	6	5	4	5	4	5	3	5	4	5	4	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	5	4	6	5	4	5	4	5	3	5	4	5	4	9	4	364288.97	373240.6	355749.62	368735.94	396476.72	378566.75	351103.34	378602.2	337381.75	373740.88	325159.06	403625.44	505208.03	475876.38	413117.8	479741.03	436459.34	181209.52	186842.47	178943.4	183679.02	201584.23	188993.4	174823.84	190804.5	164328.62	173300.94	174548.56	180928.88	201273.64	194570.97	180342.6	193238.2	198139.11	
sp|P69897|TBB5_RAT	P69897	TBB5_RAT	Tubb5	444	Rattus norvegicus	1:Experimental evidence at protein level	Tubulin beta-5 chain	1.0	0.999	22	1546	255	1546	91	87	80	87	92	86	99	90	80	95	92	90	93	104	99	106	75	17	15	11	17	16	13	17	12	14	17	16	16	13	15	16	18	12	91	87	80	87	92	86	99	90	80	95	92	90	93	104	99	106	75	1.0574814E7	1.1543315E7	1.0962963E7	1.0892126E7	9642878.0	1.0091671E7	1.0581916E7	1.0502371E7	1.1025542E7	1.1516406E7	1.0233904E7	1.2142034E7	1.1026603E7	1.0754384E7	1.1667901E7	1.2575574E7	6547312.5	1120050.8	1230161.6	1151694.2	1174463.9	1092730.4	1125074.8	1185697.6	1164707.2	1184863.8	1229344.2	1163790.8	1262472.9	1188396.5	1214217.8	1235814.1	1343817.9	768165.7	
sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit alpha	1.0	0.999	5	197	179	197	10	9	13	12	16	9	7	11	12	14	12	11	16	12	11	12	10	9	8	13	11	13	9	7	10	11	12	11	10	13	11	10	11	10	10	9	13	12	16	9	7	11	12	14	12	11	16	12	11	12	10	982369.44	729139.5	746246.25	701925.7	1030437.5	606035.0	548949.7	713949.75	1216540.2	1011724.2	964489.5	929974.06	985278.8	1022543.4	759590.56	906226.56	416217.8	368549.75	272199.44	278036.1	248445.92	358228.25	228343.3	197744.52	251205.16	439077.25	334684.6	350318.28	339338.06	379144.25	353338.84	260280.12	323678.44	154088.88	
sp|P70470|LYPA1_RAT	P70470	LYPA1_RAT	Lypla1	230	Rattus norvegicus	1:Experimental evidence at protein level	Acyl-protein thioesterase 1	1.0	0.999	2	21	0	21	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	0	44422.062	31807.371	33286.992	31781.068	13686.213	26719.977	26073.605	46318.906	33676.062	50061.766	51682.727	52078.32	33286.184	50950.555	43895.93	51537.168	23308.566	29015.006	31132.363	32580.584	31106.62	26613.215	26152.932	25520.28	30242.732	32961.4	32390.727	33750.438	33956.473	32579.793	32629.018	28257.39	33304.08	22813.918	
sp|P70500|CDIPT_RAT	P70500	CDIPT_RAT	Cdipt	213	Rattus norvegicus	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.0	0.999	4	57	19	57	3	4	2	2	3	3	4	2	3	5	3	5	4	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	4	2	2	3	3	4	2	3	5	3	5	4	5	4	4	1	77441.6	55764.938	58369.145	32422.975	78968.59	73935.12	68570.39	73857.8	111660.76	132033.16	128581.49	114825.3	120248.586	114529.75	114043.62	118568.02	78682.75	28265.887	29636.781	29245.305	24796.592	27318.965	28939.838	31439.693	25514.688	39239.15	45139.13	43893.18	44233.836	42091.695	39905.29	40134.61	41989.676	25965.217	
sp|P70501|RBM10_RAT	P70501	RBM10_RAT	Rbm10	852	Rattus norvegicus	1:Experimental evidence at protein level	RNA-binding protein 10	0.9991	0.9978	18	12	12	252	0	0	1	0	0	2	1	2	0	1	1	1	1	1	0	1	0	0	0	1	0	0	2	1	2	0	1	1	1	1	1	0	1	0	12	15	13	13	10	15	15	16	13	14	14	16	17	20	17	19	13	15207.299	15512.979	17142.184	12180.487	14978.134	13876.4795	17352.842	18532.25	19768.656	16050.422	17179.48	14760.667	17255.473	15065.374	18311.027	17371.502	15260.231	15207.299	15512.979	17142.184	12180.487	14978.134	13876.4795	17352.842	18532.25	19768.656	16050.422	17179.48	14760.667	17255.473	15065.374	18311.027	17371.502	15260.231	
sp|P70562|BHA15_RAT	P70562	BHA15_RAT	Bhlha15	197	Rattus norvegicus	1:Experimental evidence at protein level	Class A basic helix-loop-helix protein 15	0.9802	0.9986	1	4	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	9244.845	10885.688	5510.9053	9793.931	10562.232	10816.806	9464.802	12655.178	0.0	0.0	0.0	0.0	7906.923	4086.0037	9370.943	0.0	18566.955	9244.845	10885.688	5510.9053	9793.931	10562.232	10816.806	9464.802	12655.178	0.0	0.0	0.0	0.0	7906.923	4086.0037	9370.943	0.0	18566.955	tr|A0A8L2QJ40|A0A8L2QJ40_RAT
sp|P70580|PGRC1_RAT	P70580	PGRC1_RAT	Pgrmc1	195	Rattus norvegicus	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.999	6	139	62	139	7	7	5	7	4	6	7	8	11	11	12	10	8	9	9	14	4	4	3	3	3	1	2	4	3	4	6	4	4	5	5	3	6	2	7	7	5	7	4	6	7	8	11	11	12	10	8	9	9	14	4	274600.78	356917.34	304796.47	309073.8	280277.94	335058.47	351530.3	312357.0	356899.0	412063.5	452873.75	419575.1	456016.22	512605.1	473179.9	576038.8	235065.5	85786.24	96242.875	94009.47	94715.79	82906.86	92236.67	99845.5	96705.05	118081.86	124446.35	130846.984	128602.34	118925.62	126846.33	130920.83	142080.94	73313.445	
sp|P70583|DUT_RAT	P70583	DUT_RAT	Dut	205	Rattus norvegicus	2:Experimental evidence at transcript level	Deoxyuridine 5'-triphosphate nucleotidohydrolase	1.0	0.9982	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24477.668	48658.832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24477.668	36476.3	
sp|P80385|AAKG1_RAT	P80385	AAKG1_RAT	Prkag1	330	Rattus norvegicus	1:Experimental evidence at protein level	5'-AMP-activated protein kinase subunit gamma-1	1.0	0.999	3	10	0	10	1	2	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	52733.094	56831.668	14783.133	57937.062	62251.97	55189.055	56016.03	55291.473	50581.773	65221.72	66852.96	55568.15	57561.1	68761.3	42498.41	75249.84	50533.57	28657.26	29384.28	30371.092	28329.48	27385.727	28125.807	28917.834	26943.342	25953.664	32663.18	33653.7	29469.62	29107.396	32603.291	27247.223	33523.85	23184.14	tr|A0A0G2K913|A0A0G2K913_RAT, tr|A0A8L2R2B3|A0A8L2R2B3_RAT
sp|P80432|COX7C_RAT	P80432	COX7C_RAT	Cox7c	63	Rattus norvegicus	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 7C, mitochondrial	0.9525	0.9978	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	19937.44	0.0	0.0	0.0	26961.805	0.0	0.0	27499.86	0.0	25029.303	0.0	5303.6416	0.0	0.0	0.0	0.0	0.0	19937.44	0.0	0.0	0.0	26961.805	0.0	0.0	27499.86	0.0	25029.303	0.0	5303.6416	tr|A0A8I6ADD5|A0A8I6ADD5_RAT, tr|A0A8I6B572|A0A8I6B572_RAT
sp|P81155|VDAC2_RAT	P81155	VDAC2_RAT	Vdac2	295	Rattus norvegicus	1:Experimental evidence at protein level	Non-selective voltage-gated ion channel VDAC2	1.0	0.999	8	231	0	231	13	13	10	15	11	11	16	13	14	17	14	10	12	18	16	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	10	15	11	11	16	13	14	17	14	10	12	18	16	15	13	405905.75	423191.8	374538.78	407125.25	411986.22	381604.3	445711.3	391601.78	522650.75	615222.75	721917.25	635178.5	458351.94	594505.56	683234.75	714352.5	321476.12	115536.63	122170.05	110688.69	116457.89	123890.16	112110.39	125576.266	114170.37	141916.95	121418.125	147698.19	125805.875	124682.36	133934.83	141266.5	145301.97	90509.25	tr|A0A8I6GB84|A0A8I6GB84_RAT, tr|A0A8L2URG2|A0A8L2URG2_RAT
sp|P81377|KAP1_RAT	P81377	KAP1_RAT	Prkar1b	381	Rattus norvegicus	2:Experimental evidence at transcript level	cAMP-dependent protein kinase type I-beta regulatory subunit	1.0	0.999	6	11	0	30	0	0	0	0	0	0	0	0	1	4	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	2	6	3	1	3	3	2	3	0	72027.07	5237.9937	9740.342	75806.195	0.0	15051.285	3839.2747	5968.5195	70944.555	125838.83	94742.41	117555.55	116525.62	98737.92	99341.42	112202.19	0.0	30046.65	28943.85	26239.22	21756.102	0.0	27655.348	21214.877	32980.555	30204.145	44861.945	34391.32	42282.03	41350.17	35149.2	62248.855	44234.332	0.0	tr|F1M9X5|F1M9X5_RAT
sp|P81795|IF2G_RAT	P81795	IF2G_RAT	Eif2s3	472	Rattus norvegicus	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 3, X-linked	1.0	0.999	14	255	0	255	15	14	12	14	13	14	16	16	14	12	14	10	17	18	16	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	12	14	13	14	16	16	14	12	14	10	17	18	16	20	20	584349.7	526290.7	491968.34	571429.9	571087.6	590310.5	594395.06	550079.75	491860.9	531386.25	571154.3	551415.9	573972.25	624861.3	574810.25	623466.3	754845.1	119228.28	116735.63	120417.06	117542.484	126749.18	120368.23	120474.59	113563.2	108078.1	108957.95	104482.91	101064.08	113778.07	118483.38	105896.1	113098.35	152301.72	
sp|P82471|GNAQ_RAT	P82471	GNAQ_RAT	Gnaq	359	Rattus norvegicus	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein G(q) subunit alpha	1.0	0.999	4	27	0	27	1	1	2	1	1	1	1	1	2	3	2	1	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	1	2	3	2	1	2	2	3	3	0	26462.072	24381.414	0.0	22207.602	22464.266	22824.965	26077.705	23536.018	25850.475	54899.82	53340.156	43101.363	31928.16	43233.617	56678.57	51560.92	16047.225	26462.072	24381.414	0.0	22207.602	22464.266	22824.965	26077.705	23536.018	25850.475	24646.482	23636.854	25559.121	20460.018	24628.375	25660.09	21987.432	16047.225	tr|A0ABK0KYM0|A0ABK0KYM0_RAT, tr|D4AE68|D4AE68_RAT
sp|P82808|GFPT1_RAT	P82808	GFPT1_RAT	Gfpt1	681	Rattus norvegicus	1:Experimental evidence at protein level	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	1.0	0.999	13	80	0	80	3	4	2	3	2	3	8	4	3	6	5	4	7	8	2	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	3	2	3	8	4	3	6	5	4	7	8	2	10	6	165902.27	183612.86	169139.73	158262.97	151682.5	175972.67	184495.31	193220.2	168365.27	244810.3	239135.2	276115.22	263922.78	197655.02	229467.38	244201.42	173228.47	37018.926	40437.746	39467.48	41675.27	37053.777	39981.766	40299.113	39993.2	41301.402	45424.53	42112.047	49032.67	43022.63	39518.355	37915.688	39387.23	33615.258	tr|A0A0G2KB56|A0A0G2KB56_RAT, tr|A0A8L2QET6|A0A8L2QET6_RAT, tr|A0ABK0M8I5|A0ABK0M8I5_RAT
sp|P82995|HS90A_RAT	P82995	HS90A_RAT	Hsp90aa1	733	Rattus norvegicus	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha	1.0	0.999	27	308	109	587	23	20	16	16	17	16	19	17	21	16	16	23	17	17	18	21	15	9	8	7	6	3	5	7	5	7	7	6	9	5	6	8	8	3	38	40	32	30	29	32	38	31	39	34	31	45	32	37	34	39	26	705487.5	711077.1	700048.44	910119.5	578968.25	727103.6	644275.75	719648.8	685680.2	809567.5	771812.7	905154.6	624004.06	492907.53	827978.6	803741.94	421882.03	152970.88	125455.42	132380.3	132453.34	121440.87	128606.28	135793.97	118838.36	132865.33	139963.83	128729.805	157617.36	127799.914	129987.07	133013.4	133676.62	91505.31	
sp|P83565|RM40_RAT	P83565	RM40_RAT	Mrpl40	206	Rattus norvegicus	1:Experimental evidence at protein level	Large ribosomal subunit protein mL40	1.0	0.999	5	75	75	75	4	4	5	6	3	4	5	3	4	3	4	6	5	4	5	5	5	4	4	5	6	3	4	5	3	4	3	4	6	5	4	5	5	5	4	4	5	6	3	4	5	3	4	3	4	6	5	4	5	5	5	211518.72	151494.05	225752.66	210438.4	220747.28	211307.25	201101.92	222440.47	190156.12	238138.03	241303.64	213090.7	249025.03	280637.4	257221.73	237587.56	251420.66	70970.266	76145.03	75880.555	71179.58	73442.016	71132.42	68410.16	78482.65	64506.375	66860.8	70285.92	62722.797	71023.44	81651.25	75720.055	68772.23	81748.2	
sp|P83732|RL24_RAT	P83732	RL24_RAT	Rpl24	157	Rattus norvegicus	2:Experimental evidence at transcript level	Large ribosomal subunit protein eL24	1.0	0.999	3	207	0	207	12	11	13	11	14	11	13	14	12	11	14	10	14	10	11	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	13	11	14	11	13	14	12	11	14	10	14	10	11	12	14	1824899.9	2045006.6	1894263.0	1875888.2	1701531.8	1754294.6	1799425.5	1827188.8	1584270.0	1645278.9	1724413.5	1269434.2	1665096.2	1595483.9	1591367.2	1564259.1	1558591.2	1076276.2	1179062.4	1090379.2	1110897.1	1120263.1	1004457.1	1090356.5	1081896.6	957317.8	951736.9	990557.56	973802.44	978173.8	929029.94	954039.4	901177.94	1003372.5	tr|A0A0H2UH99|A0A0H2UH99_RAT
sp|P83868|TEBP_RAT	P83868	TEBP_RAT	Ptges3	160	Rattus norvegicus	1:Experimental evidence at protein level	Prostaglandin E synthase 3	1.0	0.999	2	7	0	7	1	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	43544.715	40055.637	20325.5	42431.39	28252.543	29968.797	36342.688	38064.535	43973.242	34000.207	36332.336	41110.312	7724.558	28607.19	29342.541	25029.717	38841.934	24936.652	23177.426	14307.148	22427.018	20038.957	16821.516	21023.314	22121.84	24224.957	15711.326	19869.92	19255.346	24970.488	21771.262	22846.309	23464.748	32673.523	tr|A0A8I5ZTE4|A0A8I5ZTE4_RAT, tr|A0A8I6AQE2|A0A8I6AQE2_RAT
